year,type,industry,請求件数,決定件数,支給決定件数
2017,脳・心臓疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,5,6,3
2017,脳・心臓疾患,製造業,110,81,24
2017,脳・心臓疾患,建設業,112,87,17
2017,脳・心臓疾患,運輸業，郵便業,188,174,99
2017,脳・心臓疾患,卸売業，小売業,115,90,35
2017,脳・心臓疾患,金融業，保険業,10,8,0
2017,脳・心臓疾患,教育，学習支援業,15,11,3
2017,脳・心臓疾患,医療，福祉,43,38,2
2017,脳・心臓疾患,情報通信業,26,16,6
2017,脳・心臓疾患,宿泊業，飲食サービス業,61,49,28
2017,脳・心臓疾患,その他,155,124,36
2017,精神疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,10,8,3
2017,精神疾患,製造業,308,286,87
2017,精神疾患,建設業,114,116,51
2017,精神疾患,運輸業，郵便業,161,146,62
2017,精神疾患,卸売業，小売業,232,196,65
2017,精神疾患,金融業，保険業,63,55,10
2017,精神疾患,教育，学習支援業,51,47,8
2017,精神疾患,医療，福祉,313,266,82
2017,精神疾患,情報通信業,111,97,34
2017,精神疾患,宿泊業，飲食サービス業,74,71,33
2017,精神疾患,その他,295,257,71
2018,脳・心臓疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,12,8,4
2018,脳・心臓疾患,製造業,105,99,28
2018,脳・心臓疾患,建設業,99,80,14
2018,脳・心臓疾患,運輸業，郵便業,197,174,94
2018,脳・心臓疾患,卸売業，小売業,111,78,24
2018,脳・心臓疾患,金融業，保険業,9,3,1
2018,脳・心臓疾患,教育，学習支援業,20,8,2
2018,脳・心臓疾患,医療，福祉,62,43,6
2018,脳・心臓疾患,情報通信業,24,29,4
2018,脳・心臓疾患,宿泊業，飲食サービス業,76,57,32
2018,脳・心臓疾患,その他,162,110,29
2018,精神疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,9,10,2
2018,精神疾患,製造業,302,253,82
2018,精神疾患,建設業,129,107,45
2018,精神疾患,運輸業，郵便業,181,142,51
2018,精神疾患,卸売業，小売業,256,199,68
2018,精神疾患,金融業，保険業,59,46,8
2018,精神疾患,教育，学習支援業,59,50,13
2018,精神疾患,医療，福祉,320,255,70
2018,精神疾患,情報通信業,93,81,23
2018,精神疾患,宿泊業，飲食サービス業,91,65,27
2018,精神疾患,その他,321,253,76
2019,脳・心臓疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,20,10,6
2019,脳・心臓疾患,製造業,99,79,22
2019,脳・心臓疾患,建設業,130,88,17
2019,脳・心臓疾患,運輸業，郵便業,197,155,68
2019,脳・心臓疾患,卸売業，小売業,150,104,32
2019,脳・心臓疾患,金融業，保険業,9,11,1
2019,脳・心臓疾患,教育，学習支援業,14,10,2
2019,脳・心臓疾患,医療，福祉,55,37,5
2019,脳・心臓疾患,情報通信業,21,13,5
2019,脳・心臓疾患,宿泊業，飲食サービス業,63,54,21
2019,脳・心臓疾患,その他,178,123,37
2019,精神疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,13,9,3
2019,精神疾患,製造業,352,291,90
2019,精神疾患,建設業,93,89,41
2019,精神疾患,運輸業，郵便業,178,134,50
2019,精神疾患,卸売業，小売業,279,234,74
2019,精神疾患,金融業，保険業,69,48,6
2019,精神疾患,教育，学習支援業,74,46,12
2019,精神疾患,医療，福祉,426,279,78
2019,精神疾患,情報通信業,127,99,31
2019,精神疾患,宿泊業，飲食サービス業,104,89,48
2019,精神疾患,その他,345,268,76
2020,脳・心臓疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,11,12,5
2020,脳・心臓疾患,製造業,92,79,17
2020,脳・心臓疾患,建設業,108,98,27
2020,脳・心臓疾患,運輸業，郵便業,158,136,58
2020,脳・心臓疾患,卸売業，小売業,111,106,38
2020,脳・心臓疾患,金融業，保険業,13,8,0
2020,脳・心臓疾患,教育，学習支援業,13,13,2
2020,脳・心臓疾患,医療，福祉,67,46,8
2020,脳・心臓疾患,情報通信業,23,12,2
2020,脳・心臓疾患,宿泊業，飲食サービス業,31,42,15
2020,脳・心臓疾患,その他,157,113,22
2020,精神疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,8,11,8
2020,精神疾患,製造業,326,311,100
2020,精神疾患,建設業,89,95,43
2020,精神疾患,運輸業，郵便業,202,185,63
